date,product,quantity,revenue
2024-01-01,Product A,10,500.00
2024-01-02,Product A,15,750.00
2024-01-03,Product A,12,600.00
2024-01-04,Product A,18,900.00
2024-01-05,Product A,20,1000.00
2024-01-06,Product A,14,700.00
2024-01-07,Product A,16,800.00
2024-01-08,Product A,22,1100.00
2024-01-09,Product A,19,950.00
2024-01-10,Product A,17,850.00
2024-01-01,Product B,5,300.00
2024-01-02,Product B,8,480.00
2024-01-03,Product B,6,360.00
2024-01-04,Product B,10,600.00
2024-01-05,Product B,12,720.00
2024-01-06,Product B,7,420.00
2024-01-07,Product B,9,540.00
2024-01-08,Product B,11,660.00
2024-01-09,Product B,8,480.00
2024-01-10,Product B,10,600.00
2024-01-01,Product C,3,450.00
2024-01-02,Product C,5,750.00
2024-01-03,Product C,4,600.00
2024-01-04,Product C,6,900.00
2024-01-05,Product C,7,1050.00
2024-01-06,Product C,4,600.00
2024-01-07,Product C,5,750.00
2024-01-08,Product C,8,1200.00
2024-01-09,Product C,6,900.00
2024-01-10,Product C,5,750.00
2024-01-11,Product A,21,1050.00
2024-01-12,Product A,23,1150.00
2024-01-13,Product A,19,950.00
2024-01-14,Product A,25,1250.00
2024-01-15,Product A,22,1100.00
2024-01-11,Product B,12,720.00
2024-01-12,Product B,14,840.00
2024-01-13,Product B,10,600.00
2024-01-14,Product B,15,900.00
2024-01-15,Product B,13,780.00
2024-01-11,Product C,7,1050.00
2024-01-12,Product C,9,1350.00
2024-01-13,Product C,6,900.00
2024-01-14,Product C,10,1500.00
2024-01-15,Product C,8,1200.00
2024-01-16,Product A,24,1200.00
2024-01-17,Product A,26,1300.00
2024-01-18,Product A,20,1000.00
2024-01-19,Product A,28,1400.00
2024-01-20,Product A,25,1250.00
2024-01-16,Product B,16,960.00
2024-01-17,Product B,18,1080.00
2024-01-18,Product B,14,840.00
2024-01-19,Product B,20,1200.00
2024-01-20,Product B,17,1020.00
2024-01-16,Product C,11,1650.00
2024-01-17,Product C,13,1950.00
2024-01-18,Product C,9,1350.00
2024-01-19,Product C,15,2250.00
2024-01-20,Product C,12,1800.00

